"fs", "age", "fdas", "hhs"
0, 0, 0, 0.01
0.15, -0.05, 0.08, 0.01
0.11, -0.18, 0.05, 0.05
0, 0, 0.03, 0
0, 0.02, 0.05, -0.02
0.1, 0.03, 0.07, 0.04
0, 0.16, -0.08, -0.05
0, 0.02, 0, 0.02
0, 0.12, 0, -0.02
0, 0.01, 0, -0.04
0.05, -0.25, 0.1, -0.02
-0.01, -0.09, -0.25, -0.01
0, 0.21, -0.06, -0.04
0, 0.06, 0, -0.03
0, 0.01, 0, -0.04
0, -0.17, 0, -0.01
0, 0, -0.16, 0.01
-0.19, 0.11, -0.49, -0.06
0.21, 0.14, 0, 0
0, 0.1, -0.08, -0.03
0.06, -0.19, 0.25, 0.05
0, -0.05, -0.12, 0.04
0, 0, 0, 0.02
0, 0.26, -0.15, -0.04
-0.03, 0.05, -0.17, 0
0.41, -0.17, 0.38, 0.07
