"fs","age","fdas","hhs"
0.01,0,0,0.07
0.25,0,0.11,0.19
0.21,-0.01,0.08,0.24
-0.03,0,0.07,0.06
-0.01,0,0.09,-0.06
0.21,0,0.1,0.24
-0.2,0,-0.16,-0.22
-0.09,0,-0.03,0.21
0.09,0.03,0,0.08
-0.03,0,0.02,-0.21
0.21,-0.05,0.15,0.06
-0.12,0,-0.33,0.03
-0.12,0.05,-0.12,-0.06
-0.03,0,0.05,-0.05
-0.02,0,-0.02,-0.11
0.03,0,-0.01,-0.04
-0.05,0,-0.2,0.16
-0.29,0,-0.54,-0.38
0.28,0,0.01,0.04
-0.1,0,-0.15,-0.1
0.14,-0.01,0.28,0.23
-0.04,0,-0.22,0.13
0.08,0,-0.07,0.22
0.07,0.07,-0.21,-0.08
-0.07,0,-0.21,-0.02
0.46,-0.01,0.36,0.39
